PERSON_ID;FORENAME;NAME;AGE;BIRTHDATE;SEX;INCOME;JOB;BANK-BALANCE;CREDIT-WORTHY;CREDIT-AMOUNT;CONTACT-DATE;TIMESTAMP
1;Geraldine ;Jackson;87;08.08.1927;female;138000;Bank manager ;124100;no;;02.11.2014;2014-11-02 10:10:00
2;Lawrence ;Daniels;76;29.11.1936;male;39000;Photographer ;-2800;no;;06.09.2012;2012-09-06 09:00:10
3;Janet ;Dardar;69;18.05.1943;female;-5000;Student;600;no;;20.07.2012;2012-10-02 06:30:12
4;Martin ;Jones;33;21.06.1979;male;42000;Farmer ;-36500;yes;12200;11.05.2012;2012-05-14 09:09:10
5;Williams ;Rodriguez;94;19.02.1921;male;133000;Pilot ;116000;no;;12.12.2015;2016-05-14 10:09:10
6;Georgina ;Cook;80;23.03.1935;female;3000;Student;100;no;;04.03.2015;2015-04-14 06:09:10
7;Zenaida ;Staggs;61;03.07.1951;female;28000;Magician ;12800;yes;18500;20.03.2012;2015-04-14 06:09:10
8;Elliott ;Eatmon;29;01.10.1986;male;100000;Professor ;34200;yes;40400;20.05.2015;2015-10-14 06:09:45
9;Gilberto ;Kenney;37;09.11.1975;male;78000;Engineer ;75900;yes;29700;08.10.2012;2012-10-10 06:30:40
10;Annie ;Stock;175;10.07.1936;female;51000;Researcher ;-34200;no;;12.10.2011;2011-10-10 06:21:40
11;Wayne ;Burdett;60;10.11.1954;male;112000;Lawyer ;12000;yes;37000;04.07.2014;2014-12-30 06:00:00
12;Karen ;Shuck;37;10.01.1977;female;53000;Chemist ;52100;yes;22500;20.12.2014;2014-12-30 06:00:00
13;John ;Malloy;72;02.02.1942;male;22000;Gardener ;9100;no;;03.09.2014;2014-09-15 07:33:10
14;Susan ;Kirkland;60;22.05.1953;female;68000;Psychologist ;-64200;yes;63200;27.06.2013;2013-06-15 11:23:10
15;Dorothy ;Simpson;24;26.05.1990;female;132000;Singer ;15000;yes;67300;23.12.2014;2015-01-01 07:06:22
16;Elijah ;Sutton;83;15.03.1930;male;26000;Comedian ;18800;no;;02.10.2013;2013-10-12 15:33:21
5;Williams ;Rodriguez;91;19.02.1921;male;145000;Pilot ;82000;no;;03.09.2012;2013-10-12 15:33:21
1;Geraldine ;Jackson;88;08.08.1927;female;115000;Bank manager ;48000;no;;20.12.2015;2016-01-12 18:43:00
7;Zenaida ;Staggs;64;03.07.1951;abc;20000;Magician ;3400;no;;09.06.2015;2015-10-23 15:33:21
11;Wayne ;Burdett;59;10.11.1954;male;59000;Lawyer ;60000;yes;28600;06.01.2013;2013-01-07 09:11:51
15;Dorothy ;Simpson;22;26.05.1990;female;75000;Singer ;12000;yes;72800;02.01.2012;2012-01-23 22:13:26
7;Zenaida ;Staggs;63;03.07.1951;female;16000;Magician ;6700;no;;22.07.2014;2014-07-23 11:03:11
1;Geraldine ;Jackson;85;08.08.1927;female;123000;Bank manager ;62000;no;;18.04.2012;2012-10-07 21:23:00
